Date, Open, High, Low, Close
10/25/2013,15523.72,15570.6,15512.96,15570.28
10/24/2013,15414.87,15528.63,15414.13,15509.21
10/23/2013,15465.34,15465.66,15366.19,15413.33
10/22/2013,15394.22,15518.1,15394.22,15467.66
10/21/2013,15401.32,15410.18,15362.66,15392.2
10/18/2013,15371.71,15412.97,15321.81,15399.65
10/17/2013,15369.46,15376.11,15229.02,15371.65
10/16/2013,15170.7,15374.15,15170.7,15373.83
10/15/2013,15300.3,15301.91,15161.33,15168.01
10/14/2013,15231.33,15309.48,15136.38,15301.26
10/11/2013,15126.52,15237.3,15100.13,15237.11
10/10/2013,14806.39,15126.07,14806.39,15126.07
10/9/2013,14778.19,14852.5,14719.43,14802.98
10/8/2013,14938.04,14938.04,14773.47,14776.53
10/7/2013,15069.3,15069.3,14920.83,14936.24
10/4/2013,14994.68,15083.99,14972.33,15072.58
10/3/2013,15127.23,15127.23,14947.03,14996.48
10/2/2013,15182.65,15182.65,15044.71,15133.14
10/1/2013,15132.49,15208.4,15110.34,15191.7
9/30/2013,15249.82,15249.82,15086.71,15129.67
9/27/2013,15317.45,15317.45,15211.81,15258.24
9/26/2013,15274.42,15387.19,15274.42,15328.3
9/25/2013,15339.02,15372.48,15253.16,15273.26
9/24/2013,15402.54,15433.75,15327.14,15334.59
9/23/2013,15452.31,15466.95,15368.25,15401.38
9/20/2013,15635.09,15654.77,15448.09,15451.09
9/19/2013,15677.86,15695.89,15625.45,15636.55
9/18/2013,15533.03,15709.58,15470.16,15676.94
9/17/2013,15503.15,15555.07,15503.15,15529.73
9/16/2013,15381.36,15549.87,15381.36,15494.78
9/13/2013,15312.86,15380.97,15312.86,15376.06
9/12/2013,15327.14,15345.32,15283.26,15300.64
9/11/2013,15194.13,15326.6,15194.13,15326.6
9/10/2013,15067.23,15192.13,15067.23,15191.06
9/9/2013,14927.19,15088.41,14927.19,15063.12
9/6/2013,14941.55,15009.84,14789.4,14922.5
9/5/2013,14929.49,14987.47,14923.27,14937.48
